1;20,000000
2;39,500000
3;58,000000
4;80,000000
5;101,000000
6;121,500000
7;139,500000
8;159,000000
9;182,500000
10;193,500000
11;221,000000
12;242,000000
13;262,000000
14;285,500000
15;274,500000
16;322,000000
17;350,750000
18;352,000000
19;369,500000
20;323,500000
21;396,500000
22;406,500000
23;382,000000
24;412,500000
25;393,000000
26;422,500000
27;420,500000
28;429,500000
29;436,500000
30;445,500000
31;392,000000
32;412,750000
33;426,250000
34;424,000000
35;410,000000
36;451,500000
37;459,500000
38;423,000000
39;456,000000
40;448,000000
