1;43,628113
2;84,602371
3;125,897018
4;161,655350
5;183,318054
6;253,228668
7;300,029999
8;307,881775
9;381,679382
10;381,097565
11;462,748718
12;429,922607
13;560,852478
14;601,684692
15;643,500671
16;511,247437
17;549,148804
18;586,854431
19;817,661499
20;830,564758
21;840,336121
22;846,740051
23;847,457642
24;666,222534
25;625,390869
26;885,739563
27;874,125854
28;877,963135
29;921,658997
30;757,002258
31;947,867310
32;645,161316
33;938,967163
34;969,932129
35;992,063477
36;1016,260193
37;884,173279
38;750,750732
39;1064,962769
40;1015,228455
