1;40,250000
2;76,500000
3;116,000000
4;130,750000
5;153,250000
6;157,000000
7;240,500000
8;242,750000
9;317,500000
10;432,500000
11;437,000000
12;519,250000
13;504,500000
14;607,250000
15;640,750000
16;676,250000
17;670,500000
18;752,250000
19;651,250000
20;518,000000
21;809,000000
22;671,250000
23;806,500000
24;728,750000
25;788,000000
26;744,000000
27;802,500000
28;863,500000
29;920,000000
30;922,000000
31;899,000000
32;927,000000
33;835,250000
34;833,000000
35;957,500000
36;892,500000
37;958,000000
38;871,500000
39;942,000000
40;983,500000
