1;80,450523
2;155,376007
3;241,021927
4;322,580658
5;392,618774
6;474,608459
7;459,981598
8;631,711914
9;701,262268
10;789,265991
11;871,080139
12;956,022949
13;1020,408142
14;1088,139282
15;948,766602
16;1264,222534
17;862,812744
18;780,640137
19;1453,488403
20;1461,988281
21;1479,289917
22;1420,454590
23;1432,664795
24;1434,720215
25;1422,475098
26;1481,481445
27;1492,537354
28;1508,295654
29;888,888916
30;1557,632446
31;1584,786011
32;954,198486
33;1623,376587
34;1587,301636
35;1597,444092
36;1612,903198
37;1587,301636
38;1607,717041
39;1642,036133
40;1582,278442
