1;35,241047
2;68,898994
3;100,070045
4;133,191269
5;149,409836
6;202,388184
7;243,664719
8;249,252243
9;256,607635
10;346,860901
11;390,167786
12;387,146729
13;444,642059
14;403,551239
15;518,134705
16;562,746216
17;603,500305
18;388,048126
19;659,630615
20;654,022217
21;613,873535
22;637,348633
23;458,715607
24;712,250732
25;694,444458
26;727,802063
27;711,743774
28;563,697876
29;762,776489
30;769,230774
31;784,929382
32;715,819641
33;598,802368
34;814,332275
35;826,446289
36;811,030029
37;512,820496
38;866,551147
39;861,326416
40;811,030029
